,Value
China,1392730000
India,1352617328
US,326687501
Indonesia,267663435
Pakistan,212215030
Brazil,209469333
Nigeria,195874740
Bangladesh,161356039
Russia,144478050
Japan,126529100
Mexico,126190788
Ethiopia,109224559
Philippines,106651922
Egypt,98423595
Vietnam,95540395
Congo (Kinshasa),84068091
Germany,82905782
Turkey,82319724
Iran,81800269
Thailand,69428524
France,66977107
UK,66460344
Italy,60455545
South Africa,57779622
Tanzania,56318348
Burma,53708395
"Korea, South",51606633
Kenya,51393010
Colombia,49648685
Spain,46796540
Ukraine,44622516
Argentina,44494502
Uganda,42723139
Algeria,42228429
Sudan,41801533
Iraq,38433600
Poland,37974750
Afghanistan,37172386
Canada,37057765
Morocco,36029138
Saudi Arabia,33699947
Uzbekistan,32955400
Peru,31989256
Malaysia,31528585
Angola,30809762
Ghana,29767108
Mozambique,29495962
Venezuela,28870195
Yemen,28498687
Nepal,28087871
Madagascar,26262368
Cameroon,25216237
Cote d'Ivoire,25069229
Australia,24982688
Taiwan*,23780000
Niger,22442948
Sri Lanka,21670000
Burkina Faso,19751535
Romania,19466145
Mali,19077690
Chile,18729160
Kazakhstan,18272430
Malawi,18143315
Zambia,17351822
Guatemala,17247807
Netherlands,17231624
Ecuador,17084357
Syria,16906283
Cambodia,16249798
Senegal,15854360
Chad,15477751
Somalia,15008154
Zimbabwe,14439018
Guinea,12414318
Rwanda,12301939
Tunisia,11565204
Benin,11485048
Belgium,11433256
Bolivia,11353142
Cuba,11338138
Burundi,11175378
Haiti,11123176
South Sudan,10975920
Greece,10731726
Czechia,10629928
Dominican Republic,10627165
Portugal,10283822
Sweden,10175214
Jordan,9956011
Azerbaijan,9939800
Hungary,9775564
United Arab Emirates,9630959
Honduras,9587522
Belarus,9483499
Tajikistan,9100837
Israel,8882800
Austria,8840521
Papua New Guinea,8606316
Switzerland,8513227
Togo,7889094
Sierra Leone,7650154
Laos,7061507
Bulgaria,7025037
Serbia,6982604
Paraguay,6956071
Lebanon,6848925
Libya,6678567
Nicaragua,6465513
El Salvador,6420744
Kyrgyzstan,6322800
Denmark,5793636
Singapore,5638676
Finland,5515525
Slovakia,5446771
Norway,5311916
Congo (Brazzaville),5244363
Eritrea,5100000
Costa Rica,4999441
Ireland,4867309
New Zealand,4841000
Oman,4829483
Liberia,4818977
Central African Republic,4666377
West Bank and Gaza,4569087
Mauritania,4403319
Panama,4176873
Kuwait,4137309
Croatia,4087843
Georgia,3726549
Uruguay,3449299
Bosnia and Herzegovina,3323929
Mongolia,3170208
Armenia,2951776
Jamaica,2934855
Albania,2866376
Lithuania,2801543
Qatar,2781677
Moldova,2706049
Namibia,2448255
Gambia,2280102
Botswana,2254126
Gabon,2119275
Lesotho,2108132
North Macedonia,2082958
Slovenia,2073894
Latvia,1927174
Guinea-Bissau,1874309
Kosovo,1845300
Bahrain,1569439
Trinidad and Tobago,1389858
Estonia,1321977
Equatorial Guinea,1308974
Timor-Leste,1267972
Mauritius,1265303
Cyprus,1189265
Eswatini,1136191
Djibouti,958920
Fiji,883483
Comoros,832322
Guyana,779004
Bhutan,754394
Montenegro,622227
Luxembourg,607950
Suriname,575991
Cabo Verde,543767
Maldives,515696
Malta,484630
Brunei,428962
Bahamas,385640
Belize,383071
Iceland,352721
Barbados,286641
Sao Tome and Principe,211028
Saint Lucia,181889
Grenada,111454
Saint Vincent and the Grenadines,110210
Seychelles,96762
Antigua and Barbuda,96286
Andorra,77006
Dominica,71625
Saint Kitts and Nevis,52441
Monaco,38682
Liechtenstein,37910
