state,idxs,lat,lon,population,cluster_cases,cluster_deaths
Johor,0,1.527549,103.745476,3781000,2,0
Kedah,1,6.155672,100.569649,2185100,2,0
Kelantan,2,6.125397,102.238068,1906700,2,0
Melaka,3,2.200844,102.240143,932700,0,2
Negeri Sembilan,4,2.731813,102.252502,1128800,0,2
Pahang,5,3.974341,102.438057,1678700,2,0
Pulau Pinang,6,5.285153,100.456238,1773600,2,0
Perak,7,4.69395,101.117577,2510300,2,0
Perlis,8,6.443589,100.216599,254900,2,0
Selangor,9,3.509247,101.524803,6538000,0,2
Terengganu,10,5.3117,103.1324,1259300,2,0
Sabah,11,5.420404,116.796783,3908500,2,0
Sarawak,12,1.553278,110.359213,2816500,2,0
W.P. Kuala Lumpur,13,3.140853,101.693207,1773700,0,2
W.P. Labuan,14,5.285153,115.247787,99600,1,1
W.P. Putrajaya,15,2.9264,101.6964,110000,0,0
